attempt,distance_m,target_color,crop_scale,interval_s,color_min_area_px,color_min_component_area_px,red_saturation_min,red_value_min,color_visible,color_recognition_time_ms,red_pixel_count,red_pixel_ratio_pct,red_hue_circular_mean_deg,red_saturation_mean,red_value_mean,red_b_mean,red_g_mean,red_r_mean,color_component_area_px,color_center_distance_px,camera_frame_id,camera_captured_ns,status,started_at,finished_at
13,3.0,red,0.6,0.2,125.0,50.0,130,110,1,35.276107,2718,0.294921875,356.0920369979137,145.1802796173657,139.2086092715232,64.95621780721119,59.93303899926416,139.2086092715232,2628.0,61.85466837676846,71,26741913391942,success,2026-07-27T21:06:52.433+09:00,2026-07-27T21:06:52.501+09:00
14,3.0,red,0.6,0.2,125.0,50.0,130,110,1,30.633434,2689,0.2917751736111111,356.122678733316,145.10449981405728,138.9531424321309,65.05132019338043,59.894012644105615,138.9531424321309,2600.0,61.85466837676846,72,26741984133267,success,2026-07-27T21:06:52.507+09:00,2026-07-27T21:06:52.567+09:00
15,3.0,red,0.6,0.2,125.0,50.0,130,110,1,33.442649,2712,0.2942708333333333,355.95010198232296,144.74815634218288,139.07153392330383,65.31305309734513,60.12942477876106,139.07153392330383,2621.0,61.85466837676846,73,26742048316887,success,2026-07-27T21:06:52.570+09:00,2026-07-27T21:06:52.638+09:00
16,3.0,red,0.6,0.2,125.0,50.0,130,110,1,91.830304,2750,0.2983940972222222,355.89547813024996,144.7730909090909,138.86363636363637,65.46472727272727,60.02072727272727,138.86363636363637,2659.0,61.85466837676846,75,26742180137377,success,2026-07-27T21:06:52.642+09:00,2026-07-27T21:06:52.762+09:00
17,3.0,red,0.6,0.2,125.0,50.0,130,110,1,37.687008,2714,0.29448784722222227,355.98400799649465,145.0066322770818,139.3087693441415,65.22476050110538,60.081061164333086,139.3087693441415,2626.0,61.85466837676846,76,26742247717784,success,2026-07-27T21:06:52.766+09:00,2026-07-27T21:06:52.836+09:00
18,3.0,red,0.6,0.2,125.0,50.0,130,110,1,34.47585,2728,0.2960069444444444,356.256846323386,144.77932551319648,139.27639296187684,64.95197947214076,60.17925219941349,139.27639296187684,2637.5,61.85466837676846,77,26742319921438,success,2026-07-27T21:06:52.841+09:00,2026-07-27T21:06:52.906+09:00
19,3.0,red,0.6,0.2,125.0,50.0,130,110,1,32.959762,2729,0.2961154513888889,356.0158509444067,145.43532429461342,139.09600586295346,65.05679736167095,59.76584829607915,139.09600586295346,2640.0,62.68173577685928,78,26742387674585,success,2026-07-27T21:06:52.909+09:00,2026-07-27T21:06:52.976+09:00
20,3.0,red,0.6,0.2,125.0,50.0,130,110,1,91.503844,2725,0.2956814236111111,356.2032137388586,144.86348623853212,138.9005504587156,64.84587155963303,59.981651376146786,138.9005504587156,2635.5,62.68173577685928,80,26742516617380,success,2026-07-27T21:06:52.980+09:00,2026-07-27T21:06:53.100+09:00
21,3.0,red,0.6,0.2,125.0,50.0,130,110,1,35.315212,2755,0.2989366319444444,356.0694486672571,145.14228675136115,138.97168784029037,64.86352087114338,59.88711433756806,138.97168784029037,2663.5,62.68173577685928,81,26742583581388,success,2026-07-27T21:06:53.103+09:00,2026-07-27T21:06:53.174+09:00
22,3.0,red,0.6,0.2,125.0,50.0,130,110,1,30.839038,2763,0.2998046875,356.09041894276453,145.12739775606224,138.56894679695984,64.74556641331885,59.72385088671734,138.56894679695984,2673.0,62.68173577685928,82,26742654224182,success,2026-07-27T21:06:53.178+09:00,2026-07-27T21:06:53.235+09:00
23,3.0,red,0.6,0.2,125.0,50.0,130,110,1,37.116645,2746,0.2979600694444444,356.3899562906939,145.3277494537509,138.6722505462491,64.43190094683176,59.62163146394756,138.6722505462491,2656.5,61.85466837676846,83,26742714917505,success,2026-07-27T21:06:53.239+09:00,2026-07-27T21:06:53.311+09:00
24,3.0,red,0.6,0.2,125.0,50.0,130,110,1,91.812099,2694,0.2923177083333333,356.6273444584756,144.32999257609504,138.01002227171492,63.956941351150704,59.93875278396437,138.01002227171492,2605.0,61.85466837676846,85,26742850821998,success,2026-07-27T21:06:53.315+09:00,2026-07-27T21:06:53.434+09:00
25,3.0,red,0.6,0.2,125.0,50.0,130,110,1,35.891726,2738,0.2970920138888889,356.5778224636075,145.52045288531775,139.17969320672023,64.21292914536157,59.74689554419284,139.17969320672023,2647.5,62.68173577685928,86,26742915398499,success,2026-07-27T21:06:53.438+09:00,2026-07-27T21:06:53.509+09:00
26,3.0,red,0.6,0.2,125.0,50.0,130,110,1,90.88792,2758,0.2992621527777778,356.075421268076,145.50036258158084,138.82451051486584,64.65518491660623,59.60514865844815,138.82451051486584,2666.5,62.68173577685928,88,26743048595770,success,2026-07-27T21:06:53.513+09:00,2026-07-27T21:06:53.630+09:00
27,3.0,red,0.6,0.2,125.0,50.0,130,110,1,38.907485,2764,0.2999131944444444,355.93101368864563,145.9399421128799,139.06186685962373,64.7959479015919,59.46273516642547,139.06186685962373,2673.0,62.68173577685928,89,26743116676173,success,2026-07-27T21:06:53.634+09:00,2026-07-27T21:06:53.708+09:00
28,3.0,red,0.6,0.2,125.0,50.0,130,110,1,30.963334,2749,0.2982855902777778,355.9315220573906,145.71262277191707,139.21971626045834,64.92615496544198,59.66060385594762,139.21971626045834,2658.5,62.68173577685928,90,26743190420891,success,2026-07-27T21:06:53.713+09:00,2026-07-27T21:06:53.773+09:00
29,3.0,red,0.6,0.2,125.0,50.0,130,110,1,94.975374,2727,0.2958984375,355.7558586785003,145.31353135313532,138.74110744407773,65.12687935460212,59.67070040337367,138.74110744407773,2637.5,62.68173577685928,92,26743315955064,success,2026-07-27T21:06:53.776+09:00,2026-07-27T21:06:53.904+09:00
30,3.0,red,0.6,0.2,125.0,50.0,130,110,1,32.44325,2715,0.2945963541666667,356.1949341530274,144.6802946593002,138.54069981583794,64.91565377532228,59.94254143646409,138.54069981583794,2625.0,63.245553203367585,93,26743387779720,success,2026-07-27T21:06:53.910+09:00,2026-07-27T21:06:53.969+09:00
31,3.0,red,0.6,0.2,125.0,50.0,130,110,1,33.653186,2724,0.2955729166666667,356.15936733551473,145.28157121879588,138.87555066079295,64.72099853157121,59.73898678414097,138.87555066079295,2634.0,62.68173577685928,94,26743448286414,success,2026-07-27T21:06:53.973+09:00,2026-07-27T21:06:54.042+09:00
32,3.0,red,0.6,0.2,125.0,50.0,130,110,1,90.275127,2674,0.2901475694444444,356.41471392357556,144.48578908002992,138.64809274495138,64.745325355273,60.109199700822735,138.64809274495138,2584.5,62.42595614005443,96,26743581933182,success,2026-07-27T21:06:54.046+09:00,2026-07-27T21:06:54.163+09:00
33,3.0,red,0.6,0.2,125.0,50.0,130,110,1,35.951226,2686,0.29144965277777773,355.6815484860857,144.98696947133283,138.46165301563664,65.28592702903947,59.718168279970214,138.46165301563664,2596.0,62.42595614005443,97,26743648202005,success,2026-07-27T21:06:54.168+09:00,2026-07-27T21:06:54.236+09:00
34,3.0,red,0.6,0.2,125.0,50.0,130,110,1,33.786722,2708,0.2938368055555556,356.1110794008378,144.14844903988183,138.2666174298375,65.01329394387001,60.095273264401776,138.2666174298375,2619.0,63.245553203367585,98,26743719677868,success,2026-07-27T21:06:54.241+09:00,2026-07-27T21:06:54.305+09:00
35,3.0,red,0.6,0.2,125.0,50.0,130,110,1,33.620297,2690,0.2918836805555556,356.5943192122352,144.22007434944237,138.41486988847583,64.59405204460967,60.16728624535316,138.41486988847583,2600.5,63.245553203367585,99,26743782422288,success,2026-07-27T21:06:54.308+09:00,2026-07-27T21:06:54.376+09:00
36,3.0,red,0.6,0.2,125.0,50.0,130,110,1,91.847339,2729,0.2961154513888889,356.3720166893389,143.7478930010993,138.19677537559545,64.84646390619274,60.301209234151706,138.19677537559545,2638.5,63.245553203367585,101,26743916262128,success,2026-07-27T21:06:54.380+09:00,2026-07-27T21:06:54.502+09:00
37,3.0,red,0.6,0.2,125.0,50.0,130,110,1,34.456958,2685,0.2913411458333333,355.88546695074535,144.1586592178771,138.15754189944133,65.53333333333333,60.05512104283054,138.15754189944133,2595.5,63.245553203367585,102,26743983674851,success,2026-07-27T21:06:54.505+09:00,2026-07-27T21:06:54.575+09:00
38,3.0,red,0.6,0.2,125.0,50.0,130,110,1,92.645612,2714,0.29448784722222227,356.07847827174777,144.26823876197494,138.54163596168019,65.19638909358879,60.151068533529845,138.54163596168019,2623.5,64.07027391856539,104,26744118623277,success,2026-07-27T21:06:54.579+09:00,2026-07-27T21:06:54.701+09:00
39,3.0,red,0.6,0.2,125.0,50.0,130,110,1,37.915213,2693,0.2922092013888889,356.4917064334145,144.10842926104715,138.31414779056814,64.57890828072782,60.15707389528407,138.31414779056814,2605.5,64.07027391856539,105,26744186400293,success,2026-07-27T21:06:54.705+09:00,2026-07-27T21:06:54.785+09:00
40,3.0,red,0.6,0.2,125.0,50.0,130,110,1,82.959954,2711,0.2941623263888889,356.0553571479623,145.0829952047215,139.02729620066395,65.05643673921062,59.908520841018074,139.02729620066395,2620.5,63.245553203367585,107,26744314010934,success,2026-07-27T21:06:54.789+09:00,2026-07-27T21:06:54.903+09:00
41,3.0,red,0.6,0.2,125.0,50.0,130,110,1,38.55519,2691,0.2919921875,356.53837367707035,144.25455221107396,138.01858045336306,64.34076551467855,59.94760312151617,138.01858045336306,2601.5,63.245553203367585,108,26744388739460,success,2026-07-27T21:06:54.906+09:00,2026-07-27T21:06:54.986+09:00
42,3.0,red,0.6,0.2,125.0,50.0,130,110,1,79.500161,2715,0.2945963541666667,355.8614469722226,145.67882136279925,137.9355432780847,64.69539594843462,59.12412523020258,137.9355432780847,2625.0,63.245553203367585,110,26744515908734,success,2026-07-27T21:06:54.990+09:00,2026-07-27T21:06:55.099+09:00
43,3.0,red,0.6,0.2,125.0,50.0,130,110,1,34.425705,2670,0.2897135416666667,356.7507611722281,144.1827715355805,137.16179775280898,63.68726591760299,59.61947565543071,137.16179775280898,2581.5,63.245553203367585,111,26744583509952,success,2026-07-27T21:06:55.103+09:00,2026-07-27T21:06:55.172+09:00
