attempt,window_started_at,target_color,color_visible,recognition_time_ms,color_center_x,color_center_y,color_center_distance_px,color_area_px,color_circularity,camera_frame_id,camera_captured_ns,detected_frame,failure_frame
90,2026-07-24T22:25:43.059+09:00,red,1,59.419,833,457,216.00462958001617,30583.5,0.8191961769051014,326,40510305484152,,
91,2026-07-24T22:25:43.259+09:00,red,1,59.434,832,460,216.48094604375694,30581.5,0.8160094219823965,329,40510505711692,,
92,2026-07-24T22:25:43.459+09:00,red,1,59.801,832,462,217.41205118392128,30546.5,0.807260699275695,332,40510706272592,,
93,2026-07-24T22:25:43.659+09:00,red,1,60.641,834,462,219.18029108475972,30627.0,0.8102921178224343,335,40510907305229,,
94,2026-07-24T22:25:43.860+09:00,red,1,59.571,834,461,218.7167117528974,30665.5,0.8087948467852392,338,40511106426467,,
95,2026-07-24T22:25:44.060+09:00,red,1,61.673,834,463,219.64744478368056,30586.0,0.8127761649108423,341,40511308723969,,
96,2026-07-24T22:25:44.260+09:00,red,1,61.709,833,465,219.71344974762013,30651.5,0.8084256005869994,344,40511508954091,,
97,2026-07-24T22:25:44.460+09:00,red,1,61.243,833,468,221.16283593768642,30695.0,0.8204380026899603,347,40511708687030,,
98,2026-07-24T22:25:44.660+09:00,red,1,61.493,832,469,220.7826985975124,30605.5,0.8166498162551106,350,40511909130763,,
99,2026-07-24T22:25:44.861+09:00,red,1,60.424,831,468,219.4196891803468,30605.5,0.8222552239801427,353,40512108255426,,
100,2026-07-24T22:25:45.061+09:00,red,1,61.941,832,468,220.29071700822982,30648.5,0.8110974903469108,356,40512309983412,,
