attempt,distance_m,interval_s,pre_recognition_settle_time_s,crop_scale,color_min_area_px,color_min_component_area_px,red_saturation_min,red_value_min,initial_gimbal_ros_deg,uwb_source,uwb_raw_azimuth_deg,uwb_ros_azimuth_deg,target_calculated_ros_deg,gimbal_command_ros_deg,servo_clipped,target_color,color_visible,color_success,color_recognition_time_ms,red_pixel_count,red_pixel_ratio_pct,red_saturation_mean,red_value_mean,color_component_area_px,color_center_distance_px,camera_frame_id,camera_captured_ns,failure_frame,status,started_at,finished_at,error_message
60,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-26,127.0.0.1:39157,-16.9,16.9,-9.099999999999994,-9.099999999999994,0,red,1,1,52.383777,5894,0.6395399305555555,152.12181879877843,120.73939599592806,5765.0,117.38824472663352,2812,29353099538890,,success,2026-07-27T21:50:20.901+09:00,2026-07-27T21:50:24.104+09:00,
61,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-36,127.0.0.1:39157,-28.5,28.5,-7.5,-7.5,0,red,1,1,52.163296,6007,0.6518012152777778,152.14632928250376,125.79074413184618,5877.0,113.13708498984761,2860,29356294262229,,success,2026-07-27T21:50:24.105+09:00,2026-07-27T21:50:27.297+09:00,
62,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,23,127.0.0.1:39157,22.9,-22.9,0.09999999999999432,0.09999999999999432,0,red,1,1,117.774178,6356,0.6896701388888888,152.66567023285086,116.54310887350536,6220.5,13.45362404707371,2904,29359363708803,,success,2026-07-27T21:50:27.298+09:00,2026-07-27T21:50:30.304+09:00,
63,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,48,127.0.0.1:39157,51.4,-51.4,-3.4000000000000057,-3.4000000000000057,0,red,1,1,54.780746,255,0.027669270833333332,156.4549019607843,110.64313725490196,110.5,86.34813257969161,2950,29362504334926,,success,2026-07-27T21:50:30.306+09:00,2026-07-27T21:50:33.505+09:00,
64,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,48,127.0.0.1:39157,50.5,-50.5,-2.5,-2.5,0,red,1,1,130.563921,629,0.06825086805555555,155.95071542130367,110.75993640699524,544.0,48.27007354458868,2997,29365771501685,,success,2026-07-27T21:50:33.507+09:00,2026-07-27T21:50:36.703+09:00,
65,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-46,127.0.0.1:39157,-34.1,34.1,-11.900000000000006,-11.900000000000006,0,red,1,1,67.906809,4242,0.4602864583333333,147.55846298915606,131.04620462046205,4131.5,168.19334112859522,3039,29368903479106,,success,2026-07-27T21:50:36.704+09:00,2026-07-27T21:50:39.897+09:00,
66,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-5,127.0.0.1:39157,-4.9,4.9,-0.09999999999999432,-0.09999999999999432,0,red,1,1,61.476468,6267,0.6800130208333333,149.9050582415829,124.48157012924844,6130.5,15.620499351813308,3081,29371911108787,,success,2026-07-27T21:50:39.899+09:00,2026-07-27T21:50:42.904+09:00,
67,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,49,127.0.0.1:39157,55.0,-55.0,-6.0,-6.0,0,red,1,1,62.172726,1245,0.13509114583333334,163.40722891566267,111.28755020080322,1153.0,128.3160161476345,3124,29375108494062,,success,2026-07-27T21:50:42.905+09:00,2026-07-27T21:50:46.105+09:00,
68,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,9,127.0.0.1:39157,8.5,-8.5,0.5,0.5,0,red,1,1,63.231782,6185,0.6711154513888888,150.08197251414714,119.57413096200486,6050.5,12.649110640673518,3164,29378309761291,,success,2026-07-27T21:50:46.106+09:00,2026-07-27T21:50:49.298+09:00,
69,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,32,127.0.0.1:39157,32.7,-32.7,-0.6999999999999886,-0.6999999999999886,0,red,1,1,64.121401,3293,0.3573133680555556,157.67142423322198,112.191922259338,3138.0,5.0,3212,29381514034752,,success,2026-07-27T21:50:49.299+09:00,2026-07-27T21:50:52.505+09:00,
70,2.000000,0.200000,0.500000,0.6,125.0,50.0,130,110,-45,127.0.0.1:39157,-33.3,33.3,-11.699999999999989,-11.699999999999989,0,red,1,1,71.356345,5464,0.5928819444444444,147.0558199121523,127.39165446559298,5339.5,180.22763384120648,3260,29384714661632,,success,2026-07-27T21:50:52.507+09:00,2026-07-27T21:50:55.697+09:00,
